epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1112,1.79254,5.7929,2.17301,0.0987,0.69231,0.08583,0.03048,1.82769,10.7996,2.565,0.0001,0.0001,0.0001
2,13.0282,1.51538,4.41691,1.89638,0.92792,0.99091,0.94071,0.52048,1.37487,6.21748,1.49227,0.00021637,0.00021637,0.00021637
3,16.2407,1.13898,2.25286,1.40939,0.74605,0.69231,0.75164,0.42962,1.8774,4.52251,2.80705,0.00032878,0.00032878,0.00032878
4,19.5227,1.24751,1.63929,1.51837,0.82092,0.92308,0.91295,0.4552,1.68635,4.06292,2.82978,0.00043723,0.00043723,0.00043723
5,22.1621,1.16064,1.29642,1.40079,0.66209,0.75444,0.73381,0.39276,1.48304,5.29263,2.22724,0.00054172,0.00054172,0.00054172
6,24.7425,1.13863,1.10976,1.404,0.64145,0.61538,0.56366,0.28388,2.06718,5.82165,2.89788,0.00064225,0.00064225,0.00064225
7,27.3648,1.22527,1.11321,1.47742,0.8187,0.84615,0.89462,0.47045,1.49247,3.64109,2.97588,0.00073882,0.00073882,0.00073882
8,30.4816,1.15261,0.99707,1.38648,0.3139,0.53846,0.34238,0.11416,2.4044,5.9752,5.03552,0.00083143,0.00083143,0.00083143
9,33.3061,1.197,0.94597,1.47213,0.50825,0.53846,0.57054,0.32014,1.94698,3.73484,2.72156,0.00092008,0.00092008,0.00092008
10,35.9149,1.13722,1.03063,1.45493,0.40672,0.53846,0.37509,0.26318,1.71554,3.65859,2.12061,0.00100477,0.00100477,0.00100477
11,38.4729,1.27199,0.97567,1.46792,0.45747,0.30769,0.30499,0.21186,2.1387,2.7476,2.38677,0.0010855,0.0010855,0.0010855
12,41.1861,1.30091,0.91969,1.57357,0.08768,0.15385,0.0158,0.00479,3.48387,5.10576,4.32186,0.00116227,0.00116227,0.00116227
13,44.187,1.24426,0.9295,1.4748,0.00529,0.07692,0.00662,0.00174,3.97537,5.42266,5.48974,0.00123508,0.00123508,0.00123508
14,46.893,1.36658,0.9818,1.53396,0,0,0,0,4.9241,6.20106,17.7951,0.00130393,0.00130393,0.00130393
15,49.4125,1.32883,1.00335,1.54567,0,0,0,0,5.44818,7.02788,20.3218,0.00136882,0.00136882,0.00136882
16,51.9753,1.33998,0.92394,1.62758,0.00335,0.38462,0.00377,0.00064,3.71855,4.68819,6.27333,0.00142975,0.00142975,0.00142975
17,55.0185,1.29886,0.8529,1.48291,0.01536,0.07692,0.00363,0.00102,3.82144,3.8431,4.88218,0.001472,0.001472,0.001472
18,57.9591,1.20771,0.88833,1.39761,0.00552,0.30769,0.00501,0.0014,3.71572,4.21763,4.37937,0.001439,0.001439,0.001439
19,60.4639,1.23919,0.77298,1.42557,0.00367,0.30769,0.00595,0.0017,4.15314,4.29659,4.58851,0.001406,0.001406,0.001406
